Comment,Designator,Footprint,LCSC
"220uF","C1","Capacitor_SMD:C_Elec_6.3x7.7","C127327"
"22uF","C2","Capacitor_SMD:C_0805_2012Metric"," C45783"
"100nF","C3,C4","Capacitor_SMD:C_0402_1005Metric","C1525"
"4.7uF","C5,C6","Capacitor_SMD:C_Elec_4x5.4","C116398"
"47uF","C7","Capacitor_SMD:C_Elec_5x5.4","C294514"
"SMAJ5.0CA","D1","digikey-footprints:DO-214AC-BIPOLAR","C151931"
"1N4007","D3,D4","Diode_SMD:D_SOD-123F","C64898"
"1812L110","F1","Fuse:Fuse_1812_4532Metric","C163516"
"ACP3225-102-2P-T000","FL1","ACP3225-102-2P-T000:ACP3225","C92126"
"1734366-1","J1","1734366-1:TE_1734366-1",""
"95278-501A10LF","J2","95278-501A10LF:95278501A10LF",""
"RS6-0512S","PS1,PS2","RS6-0512S:RS60512S",""
"Q_PMOS_GSD","Q1","digikey-footprints:SOT-23-3","C15127"
"1K","R1","Resistor_SMD:R_0805_2012Metric","C17513"
"Blue switch","S1","LP4OA1PBCTR:LP4OA1PBCTR",""